sep=, 
EKG Messung vom 28.01.2019 18.31.12
gemessen mit dem EKG Dongle der Hochschule Luzern BAT HS18

 
 , Lead1, Lead2, Lead3, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
24,-4.05813517779461,51.4240470103105,55.4821821881051,-53.4531145992078,-2.02906758889731,-44.769851143792,-145.021884475689,-145.004227702506,-140.54414643324,-134.461954913655,-136.122930642247,-136.757073644316
25,-4.78194423535024,-9.60085654549766,-4.81891231014743,7.20988442782254,-2.39097211767512,-546.222774547336,-1087.62663678452,-1075.51248301673,-1080.72378932955,-1087.81533347318,-1092.78643935209,-1092.0872532475
26,8.74425997817889,-127.808959163202,-136.55321914138,132.181089152291,4.37212998908944,-1346.12444914703,-2555.69567915268,-2554.58666590275,-2561.90344542507,-2556.49446099057,-2558.12197918119,-2569.41742763881
27,-21.2397640659183,-125.811833509913,-104.572069443995,115.191951476954,-10.6198820329591,-2544.60663412539,-4984.64119880678,-4992.85178192239,-4984.4585359655,-4984.60216339421,-4988.64651936799,-4985.01181996887
28,3.09739395111683,-23.1474099532934,-26.2448039044102,24.6961069288518,1.54869697555841,-6495.65725599325,-12965.0697080821,-12963.4257156927,-12948.0592734979,-12937.4646465846,-12970.2480408876,-12969.9988968031
29,9.3026223910565,23.5305766897218,14.2279542986653,-18.8792654941935,4.65131119552825,-3004.23112811199,-6022.69021052265,-6023.40899576666,-6021.03359151413,-6014.98198888023,-6018.60814871872,-6010.7764718316
30,-4.14703967570676,-6.21394077918376,-2.06690110347699,4.14042094133038,-2.07351983785338,-1968.98570794502,-3935.90451478655,-3939.02618325813,-3938.18531467993,-3930.11478572097,-3922.54313209408,-3931.2982416474
31,2.08232144641806,-12.22859071946,-14.3109121658781,13.2697514426691,1.04116072320903,-1415.51046615715,-2816.71002014843,-2817.20850307102,-2814.62319342274,-2820.41107997551,-2824.76502261689,-2826.68313556255
32,9.11979610743583,-116.70362256415,-125.823418671585,121.263520617867,4.55989805371792,-1110.76019523189,-2095.6969717922,-2090.98248765353,-2106.88030313063,-2104.44421479572,-2107.37036120618,-2098.52719953744
33,3.25444852357032,179.422435120854,176.167986597284,-177.795210859069,1.62722426178516,-766.793526570167,-1709.75503973762,-1706.52728303871,-1710.89631491559,-1700.75939468815,-1698.22298647155,-1700.9730939983
34,-10.0082018430694,259.483850484743,269.492052327812,-264.487951406278,-5.0041009215347,-515.917103335116,-1301.32625899804,-1297.82306671076,-1303.6218015117,-1301.97220463914,-1322.27754842213,-1316.25628920941
35,5.40707589066005,588.947299750318,583.540223859658,-586.243761804988,2.70353794533003,-105.138667439911,-793.81755873948,-787.441648677835,-780.044518052659,-780.429082622199,-790.580443105719,-799.001730921445
36,1.00526382401586,222.169050152181,221.163786328165,-221.666418240173,0.502631912007928,-288.138448429541,-797.440683187247,-795.617419306713,-799.643282436737,-793.190341724112,-800.183832991606,-794.227638784563
37,-1.24474649794865,254.769777280482,256.014523778431,-255.392150529457,-0.622373248974327,-331.7871412284,-919.588806235231,-901.392597807921,-882.424480163085,-897.476598033943,-900.343683791667,-893.545625724684
38,2.63794361992041,154.9670511164,152.32910749648,-153.64807930644,1.3189718099602,-453.602405522382,-1059.53391854124,-1073.91843928062,-1083.13013222694,-1071.66573870144,-1068.86840960334,-1068.16198194504
39,-1.04385013732826,-28.4761310516042,-27.4322809142759,27.95420598294,-0.521925068664132,-653.085040511054,-1278.73780010783,-1300.0857857792,-1283.58341590609,-1303.24389552031,-1307.82961155358,-1294.11462056969
